x y z
-2.500 -5.000 0.351
-2.500 -4.796 0.326
-2.500 -4.592 0.303
-2.500 -4.388 0.279
-2.500 -4.184 0.256
-2.500 -3.980 0.233
-2.500 -3.776 0.211
-2.500 -3.571 0.190
-2.500 -3.367 0.169
-2.500 -3.163 0.149
-2.500 -2.959 0.130
-2.500 -2.755 0.112
-2.500 -2.551 0.096
-2.500 -2.347 0.081
-2.500 -2.143 0.069
-2.500 -1.939 0.058
-2.500 -1.735 0.051
-2.500 -1.531 0.046
-2.500 -1.327 0.045
-2.500 -1.122 0.048
-2.500 -0.918 0.056
-2.500 -0.714 0.069
-2.500 -0.510 0.090
-2.500 -0.306 0.118
-2.500 -0.102 0.156
-2.500 0.102 0.204
-2.500 0.306 0.261
-2.500 0.510 0.324
-2.500 0.714 0.393
-2.500 0.918 0.464
-2.500 1.122 0.538
-2.500 1.327 0.612
-2.500 1.531 0.688
-2.500 1.735 0.764
-2.500 1.939 0.839
-2.500 2.143 0.915
-2.500 2.347 0.990
-2.500 2.551 1.064
-2.500 2.755 1.137
-2.500 2.959 1.208
-2.500 3.163 1.279
-2.500 3.367 1.349
-2.500 3.571 1.417
-2.500 3.776 1.485
-2.500 3.980 1.551
-2.500 4.184 1.616
-2.500 4.388 1.680
-2.500 4.592 1.742
-2.500 4.796 1.804
-2.500 5.000 1.866
-2.398 -5.000 0.311
-2.398 -4.796 0.287
-2.398 -4.592 0.263
-2.398 -4.388 0.239
-2.398 -4.184 0.216
-2.398 -3.980 0.193
-2.398 -3.776 0.170
-2.398 -3.571 0.149
-2.398 -3.367 0.128
-2.398 -3.163 0.108
-2.398 -2.959 0.089
-2.398 -2.755 0.071
-2.398 -2.551 0.055
-2.398 -2.347 0.040
-2.398 -2.143 0.028
-2.398 -1.939 0.018
-2.398 -1.735 0.010
-2.398 -1.531 0.006
-2.398 -1.327 0.005
-2.398 -1.122 0.009
-2.398 -0.918 0.017
-2.398 -0.714 0.032
-2.398 -0.510 0.053
-2.398 -0.306 0.082
-2.398 -0.102 0.120
-2.398 0.102 0.168
-2.398 0.306 0.224
-2.398 0.510 0.288
-2.398 0.714 0.355
-2.398 0.918 0.426
-2.398 1.122 0.499
-2.398 1.327 0.572
-2.398 1.531 0.647
-2.398 1.735 0.721
-2.398 1.939 0.796
-2.398 2.143 0.870
-2.398 2.347 0.943
-2.398 2.551 1.016
-2.398 2.755 1.087
-2.398 2.959 1.157
-2.398 3.163 1.227
-2.398 3.367 1.295
-2.398 3.571 1.362
-2.398 3.776 1.428
-2.398 3.980 1.492
-2.398 4.184 1.556
-2.398 4.388 1.618
-2.398 4.592 1.680
-2.398 4.796 1.741
-2.398 5.000 1.801
-2.296 -5.000 0.274
-2.296 -4.796 0.249
-2.296 -4.592 0.224
-2.296 -4.388 0.200
-2.296 -4.184 0.177
-2.296 -3.980 0.153
-2.296 -3.776 0.131
-2.296 -3.571 0.109
-2.296 -3.367 0.088
-2.296 -3.163 0.068
-2.296 -2.959 0.049
-2.296 -2.755 0.031
-2.296 -2.551 0.015
-2.296 -2.347 0.000
-2.296 -2.143 0.011
-2.296 -1.939 0.021
-2.296 -1.735 0.028
-2.296 -1.531 0.032
-2.296 -1.327 0.032
-2.296 -1.122 0.028
-2.296 -0.918 0.020
-2.296 -0.714 0.006
-2.296 -0.510 0.016
-2.296 -0.306 0.045
-2.296 -0.102 0.084
-2.296 0.102 0.132
-2.296 0.306 0.188
-2.296 0.510 0.251
-2.296 0.714 0.318
-2.296 0.918 0.388
-2.296 1.122 0.460
-2.296 1.327 0.533
-2.296 1.531 0.606
-2.296 1.735 0.679
-2.296 1.939 0.752
-2.296 2.143 0.825
-2.296 2.347 0.897
-2.296 2.551 0.968
-2.296 2.755 1.038
-2.296 2.959 1.106
-2.296 3.163 1.174
-2.296 3.367 1.241
-2.296 3.571 1.306
-2.296 3.776 1.371
-2.296 3.980 1.434
-2.296 4.184 1.496
-2.296 4.388 1.557
-2.296 4.592 1.618
-2.296 4.796 1.677
-2.296 5.000 1.736
-2.194 -5.000 0.239
-2.194 -4.796 0.213
-2.194 -4.592 0.188
-2.194 -4.388 0.164
-2.194 -4.184 0.140
-2.194 -3.980 0.116
-2.194 -3.776 0.093
-2.194 -3.571 0.071
-2.194 -3.367 0.050
-2.194 -3.163 0.029
-2.194 -2.959 0.010
-2.194 -2.755 0.007
-2.194 -2.551 0.023
-2.194 -2.347 0.036
-2.194 -2.143 0.048
-2.194 -1.939 0.058
-2.194 -1.735 0.064
-2.194 -1.531 0.068
-2.194 -1.327 0.068
-2.194 -1.122 0.064
-2.194 -0.918 0.055
-2.194 -0.714 0.041
-2.194 -0.510 0.020
-2.194 -0.306 0.010
-2.194 -0.102 0.049
-2.194 0.102 0.097
-2.194 0.306 0.153
-2.194 0.510 0.215
-2.194 0.714 0.282
-2.194 0.918 0.351
-2.194 1.122 0.421
-2.194 1.327 0.493
-2.194 1.531 0.565
-2.194 1.735 0.637
-2.194 1.939 0.709
-2.194 2.143 0.780
-2.194 2.347 0.850
-2.194 2.551 0.920
-2.194 2.755 0.988
-2.194 2.959 1.055
-2.194 3.163 1.122
-2.194 3.367 1.187
-2.194 3.571 1.251
-2.194 3.776 1.313
-2.194 3.980 1.375
-2.194 4.184 1.436
-2.194 4.388 1.496
-2.194 4.592 1.555
-2.194 4.796 1.614
-2.194 5.000 1.672
-2.092 -5.000 0.206
-2.092 -4.796 0.180
-2.092 -4.592 0.154
-2.092 -4.388 0.129
-2.092 -4.184 0.105
-2.092 -3.980 0.081
-2.092 -3.776 0.057
-2.092 -3.571 0.035
-2.092 -3.367 0.013
-2.092 -3.163 0.007
-2.092 -2.959 0.025
-2.092 -2.755 0.042
-2.092 -2.551 0.058
-2.092 -2.347 0.072
-2.092 -2.143 0.084
-2.092 -1.939 0.093
-2.092 -1.735 0.100
-2.092 -1.531 0.104
-2.092 -1.327 0.104
-2.092 -1.122 0.100
-2.092 -0.918 0.091
-2.092 -0.714 0.076
-2.092 -0.510 0.054
-2.092 -0.306 0.025
-2.092 -0.102 0.013
-2.092 0.102 0.062
-2.092 0.306 0.117
-2.092 0.510 0.179
-2.092 0.714 0.245
-2.092 0.918 0.313
-2.092 1.122 0.383
-2.092 1.327 0.454
-2.092 1.531 0.524
-2.092 1.735 0.595
-2.092 1.939 0.665
-2.092 2.143 0.735
-2.092 2.347 0.804
-2.092 2.551 0.872
-2.092 2.755 0.939
-2.092 2.959 1.004
-2.092 3.163 1.069
-2.092 3.367 1.133
-2.092 3.571 1.195
-2.092 3.776 1.256
-2.092 3.980 1.317
-2.092 4.184 1.376
-2.092 4.388 1.435
-2.092 4.592 1.493
-2.092 4.796 1.550
-2.092 5.000 1.607
-1.990 -5.000 0.175
-1.990 -4.796 0.149
-1.990 -4.592 0.122
-1.990 -4.388 0.097
-1.990 -4.184 0.072
-1.990 -3.980 0.047
-1.990 -3.776 0.024
-1.990 -3.571 0.001
-1.990 -3.367 0.020
-1.990 -3.163 0.039
-1.990 -2.959 0.058
-1.990 -2.755 0.075
-1.990 -2.551 0.091
-1.990 -2.347 0.106
-1.990 -2.143 0.118
-1.990 -1.939 0.128
-1.990 -1.735 0.135
-1.990 -1.531 0.139
-1.990 -1.327 0.139
-1.990 -1.122 0.135
-1.990 -0.918 0.126
-1.990 -0.714 0.111
-1.990 -0.510 0.089
-1.990 -0.306 0.059
-1.990 -0.102 0.021
-1.990 0.102 0.027
-1.990 0.306 0.082
-1.990 0.510 0.144
-1.990 0.714 0.209
-1.990 0.918 0.276
-1.990 1.122 0.345
-1.990 1.327 0.414
-1.990 1.531 0.484
-1.990 1.735 0.553
-1.990 1.939 0.622
-1.990 2.143 0.690
-1.990 2.347 0.758
-1.990 2.551 0.824
-1.990 2.755 0.889
-1.990 2.959 0.954
-1.990 3.163 1.017
-1.990 3.367 1.079
-1.990 3.571 1.139
-1.990 3.776 1.199
-1.990 3.980 1.258
-1.990 4.184 1.317
-1.990 4.388 1.374
-1.990 4.592 1.431
-1.990 4.796 1.487
-1.990 5.000 1.543
-1.888 -5.000 0.148
