x y u v
-3.500 -8.000 -6.866 132.535
-3.132 -8.000 -6.775 118.857
-2.763 -8.000 -6.673 103.014
-2.395 -8.000 -6.591 83.652
-2.026 -8.000 -6.734 60.122
-1.658 -8.000 -7.147 35.217
-1.289 -8.000 -7.028 11.301
-0.921 -8.000 -7.167 0.297
-0.553 -8.000 -7.504 -7.623
-0.184 -8.000 -7.721 -12.366
0.184 -8.000 -7.770 -13.564
0.553 -8.000 -7.689 -10.273
0.921 -8.000 -7.423 -3.226
1.289 -8.000 -7.276 7.643
1.658 -8.000 -7.384 22.964
2.026 -8.000 -7.442 41.903
2.395 -8.000 -7.474 64.331
2.763 -8.000 -7.297 88.172
3.132 -8.000 -6.925 109.787
3.500 -8.000 -6.526 128.520
-3.500 -7.158 -6.560 123.482
-3.132 -7.158 -6.427 109.589
-2.763 -7.158 -6.298 93.983
-2.395 -7.158 -6.207 75.636
-2.026 -7.158 -6.293 53.900
-1.658 -7.158 -6.611 31.361
-1.289 -7.158 -6.489 10.514
-0.921 -7.158 -6.587 0.011
-0.553 -7.158 -6.837 -7.436
-0.184 -7.158 -6.989 -11.781
0.184 -7.158 -7.022 -12.778
0.553 -7.158 -6.965 -9.654
0.921 -7.158 -6.752 -2.909
1.289 -7.158 -6.728 7.561
1.658 -7.158 -6.799 22.055
2.026 -7.158 -6.811 39.800
2.395 -7.158 -6.843 61.005
2.763 -7.158 -6.621 83.016
3.132 -7.158 -6.236 102.969
3.500 -7.158 -5.835 120.520
-3.500 -6.316 -6.204 113.762
-3.132 -6.316 -6.019 99.531
-2.763 -6.316 -5.842 83.975
-2.395 -6.316 -5.719 66.414
-2.026 -6.316 -5.803 46.991
-1.658 -6.316 -6.042 27.114
-1.289 -6.316 -5.920 9.572
-0.921 -6.316 -5.976 -0.287
-0.553 -6.316 -6.141 -7.137
-0.184 -6.316 -6.232 -11.019
0.184 -6.316 -6.249 -11.799
0.553 -6.316 -6.213 -8.885
0.921 -6.316 -6.149 -2.495
1.289 -6.316 -6.113 6.959
1.658 -6.316 -6.113 20.211
2.026 -6.316 -6.120 36.482
2.395 -6.316 -6.144 55.893
2.763 -6.316 -5.928 75.872
3.132 -6.316 -5.545 94.406
3.500 -6.316 -5.182 111.080
-3.500 -5.474 -5.799 103.379
-3.132 -5.474 -5.558 88.845
-2.763 -5.474 -5.328 73.315
-2.395 -5.474 -5.157 56.609
-2.026 -5.474 -5.249 38.898
-1.658 -5.474 -5.429 20.890
-1.289 -5.474 -5.285 8.502
-0.921 -5.474 -5.328 -0.502
-0.553 -5.474 -5.416 -6.670
-0.184 -5.474 -5.452 -10.056
0.184 -5.474 -5.457 -10.625
0.553 -5.474 -5.443 -8.051
0.921 -5.474 -5.474 -2.288
1.289 -5.474 -5.407 5.894
1.658 -5.474 -5.390 17.535
2.026 -5.474 -5.402 32.018
2.395 -5.474 -5.422 49.100
2.763 -5.474 -5.217 67.221
3.132 -5.474 -4.855 84.253
3.500 -5.474 -4.730 101.123
-3.500 -4.632 -5.252 92.558
-3.132 -4.632 -4.988 77.876
-2.763 -4.632 -4.749 62.360
-2.395 -4.632 -4.608 46.311
-2.026 -4.632 -4.644 30.853
-1.658 -4.632 -4.651 17.865
-1.289 -4.632 -4.576 7.444
-0.921 -4.632 -4.593 -0.484
-0.553 -4.632 -4.624 -5.840
-0.184 -4.632 -4.627 -8.717
0.184 -4.632 -4.629 -9.119
0.553 -4.632 -4.627 -6.994
0.921 -4.632 -4.645 -2.269
1.289 -4.632 -4.619 4.780
1.658 -4.632 -4.628 14.547
2.026 -4.632 -4.634 26.717
2.395 -4.632 -4.644 41.436
2.763 -4.632 -4.479 57.413
3.132 -4.632 -4.143 72.648
3.500 -4.632 -4.237 89.317
-3.500 -3.789 -4.488 80.932
-3.132 -3.789 -4.200 66.823
-2.763 -3.789 -3.952 52.302
-2.395 -3.789 -3.787 38.410
-2.026 -3.789 -3.796 25.589
-1.658 -3.789 -3.810 14.928
-1.289 -3.789 -3.787 6.323
-0.921 -3.789 -3.806 -0.243
-0.553 -3.789 -3.809 -4.720
-0.184 -3.789 -3.790 -7.150
0.184 -3.789 -3.778 -7.491
0.553 -3.789 -3.789 -5.806
0.921 -3.789 -3.785 -2.096
1.289 -3.789 -3.812 3.731
1.658 -3.789 -3.822 11.585
2.026 -3.789 -3.801 21.442
2.395 -3.789 -3.814 33.451
2.763 -3.789 -3.699 46.841
3.132 -3.789 -3.593 61.002
3.500 -3.789 -3.682 75.813
-3.500 -2.947 -3.587 67.210
-3.132 -2.947 -3.313 54.386
-2.763 -2.947 -3.085 41.793
-2.395 -2.947 -2.953 30.338
-2.026 -2.947 -2.926 20.333
-1.658 -2.947 -2.945 11.999
-1.289 -2.947 -2.957 5.257
-0.921 -2.947 -2.983 0.053
-0.553 -2.947 -2.962 -3.500
-0.184 -2.947 -2.957 -5.507
0.184 -2.947 -2.933 -5.865
0.553 -2.947 -2.943 -4.624
0.921 -2.947 -2.958 -1.811
1.289 -2.947 -2.939 2.570
1.658 -2.947 -2.988 8.707
2.026 -2.947 -2.966 16.254
