x y z
-2.500 -5.000 1.999
-2.500 -4.796 1.938
-2.500 -4.592 1.876
-2.500 -4.388 1.812
-2.500 -4.184 1.748
-2.500 -3.980 1.683
-2.500 -3.776 1.617
-2.500 -3.571 1.549
-2.500 -3.367 1.480
-2.500 -3.163 1.410
-2.500 -2.959 1.338
-2.500 -2.755 1.265
-2.500 -2.551 1.189
-2.500 -2.347 1.110
-2.500 -2.143 1.029
-2.500 -1.939 0.943
-2.500 -1.735 0.853
-2.500 -1.531 0.756
-2.500 -1.327 0.659
-2.500 -1.122 0.562
-2.500 -0.918 0.468
-2.500 -0.714 0.375
-2.500 -0.510 0.285
-2.500 -0.306 0.197
-2.500 -0.102 0.114
-2.500 0.102 0.036
-2.500 0.306 0.018
-2.500 0.510 0.050
-2.500 0.714 0.080
-2.500 0.918 0.107
-2.500 1.122 0.130
-2.500 1.327 0.151
-2.500 1.531 0.167
-2.500 1.735 0.178
-2.500 1.939 0.185
-2.500 2.143 0.187
-2.500 2.347 0.185
-2.500 2.551 0.177
-2.500 2.755 0.165
-2.500 2.959 0.149
-2.500 3.163 0.129
-2.500 3.367 0.106
-2.500 3.571 0.081
-2.500 3.776 0.053
-2.500 3.980 0.022
-2.500 4.184 0.012
-2.500 4.388 0.046
-2.500 4.592 0.082
-2.500 4.796 0.118
-2.500 5.000 0.155
-2.398 -5.000 1.948
-2.398 -4.796 1.887
-2.398 -4.592 1.825
-2.398 -4.388 1.762
-2.398 -4.184 1.698
-2.398 -3.980 1.632
-2.398 -3.776 1.566
-2.398 -3.571 1.499
-2.398 -3.367 1.430
-2.398 -3.163 1.360
-2.398 -2.959 1.288
-2.398 -2.755 1.214
-2.398 -2.551 1.138
-2.398 -2.347 1.058
-2.398 -2.143 0.976
-2.398 -1.939 0.888
-2.398 -1.735 0.796
-2.398 -1.531 0.699
-2.398 -1.327 0.604
-2.398 -1.122 0.510
-2.398 -0.918 0.417
-2.398 -0.714 0.326
-2.398 -0.510 0.238
-2.398 -0.306 0.152
-2.398 -0.102 0.070
-2.398 0.102 0.003
-2.398 0.306 0.037
-2.398 0.510 0.070
-2.398 0.714 0.099
-2.398 0.918 0.127
-2.398 1.122 0.151
-2.398 1.327 0.171
-2.398 1.531 0.187
-2.398 1.735 0.199
-2.398 1.939 0.207
-2.398 2.143 0.209
-2.398 2.347 0.206
-2.398 2.551 0.199
-2.398 2.755 0.187
-2.398 2.959 0.171
-2.398 3.163 0.151
-2.398 3.367 0.128
-2.398 3.571 0.104
-2.398 3.776 0.077
-2.398 3.980 0.046
-2.398 4.184 0.010
-2.398 4.388 0.025
-2.398 4.592 0.060
-2.398 4.796 0.096
-2.398 5.000 0.134
-2.296 -5.000 1.896
-2.296 -4.796 1.835
-2.296 -4.592 1.773
-2.296 -4.388 1.710
-2.296 -4.184 1.646
-2.296 -3.980 1.581
-2.296 -3.776 1.515
-2.296 -3.571 1.448
-2.296 -3.367 1.379
-2.296 -3.163 1.308
-2.296 -2.959 1.236
-2.296 -2.755 1.162
-2.296 -2.551 1.085
-2.296 -2.347 1.005
-2.296 -2.143 0.920
-2.296 -1.939 0.831
-2.296 -1.735 0.736
-2.296 -1.531 0.641
-2.296 -1.327 0.548
-2.296 -1.122 0.457
-2.296 -0.918 0.366
-2.296 -0.714 0.277
-2.296 -0.510 0.191
-2.296 -0.306 0.107
-2.296 -0.102 0.026
-2.296 0.102 0.023
-2.296 0.306 0.057
-2.296 0.510 0.089
-2.296 0.714 0.119
-2.296 0.918 0.146
-2.296 1.122 0.171
-2.296 1.327 0.191
-2.296 1.531 0.208
-2.296 1.735 0.220
-2.296 1.939 0.228
-2.296 2.143 0.230
-2.296 2.347 0.228
-2.296 2.551 0.220
