x y u v
-3.500 -8.000 -8.064 148.541
-3.132 -8.000 -7.987 124.052
-2.763 -8.000 -7.923 98.982
-2.395 -8.000 -7.859 73.503
-2.026 -8.000 -7.703 49.835
-1.658 -8.000 -7.791 29.210
-1.289 -8.000 -7.864 11.580
-0.921 -8.000 -7.861 -1.635
-0.553 -8.000 -7.985 -9.695
-0.184 -8.000 -8.086 -14.195
0.184 -8.000 -8.352 -13.571
0.553 -8.000 -8.635 -8.052
0.921 -8.000 -8.770 1.000
1.289 -8.000 -8.776 14.119
1.658 -8.000 -8.808 30.926
2.026 -8.000 -8.721 50.630
2.395 -8.000 -8.714 72.229
2.763 -8.000 -8.590 94.594
3.132 -8.000 -8.352 116.777
3.500 -8.000 -8.156 138.422
-3.500 -7.158 -7.184 137.987
-3.132 -7.158 -7.182 114.753
-2.763 -7.158 -7.136 91.152
-2.395 -7.158 -7.100 67.396
-2.026 -7.158 -6.964 45.524
-1.658 -7.158 -7.016 26.661
-1.289 -7.158 -7.055 10.786
-0.921 -7.158 -7.044 -1.351
-0.553 -7.158 -7.131 -8.785
-0.184 -7.158 -7.163 -13.131
0.184 -7.158 -7.327 -13.037
0.553 -7.158 -7.576 -8.525
0.921 -7.158 -7.650 -0.818
1.289 -7.158 -7.639 10.724
1.658 -7.158 -7.660 25.942
2.026 -7.158 -7.600 43.951
2.395 -7.158 -7.579 64.182
2.763 -7.158 -7.454 85.495
3.132 -7.158 -7.257 106.794
3.500 -7.158 -7.162 127.639
-3.500 -6.316 -6.262 126.211
-3.132 -6.316 -6.341 104.585
-2.763 -6.316 -6.326 82.631
-2.395 -6.316 -6.313 60.771
-2.026 -6.316 -6.209 40.824
-1.658 -6.316 -6.236 23.825
-1.289 -6.316 -6.255 9.742
-0.921 -6.316 -6.238 -1.099
-0.553 -6.316 -6.296 -7.848
-0.184 -6.316 -6.288 -11.828
0.184 -6.316 -6.372 -12.010
0.553 -6.316 -6.555 -8.398
0.921 -6.316 -6.601 -1.854
1.289 -6.316 -6.570 8.181
1.658 -6.316 -6.586 21.527
2.026 -6.316 -6.551 37.745
2.395 -6.316 -6.521 56.447
2.763 -6.316 -6.402 76.507
3.132 -6.316 -6.300 96.648
3.500 -6.316 -6.321 116.525
-3.500 -5.474 -5.335 112.974
-3.132 -5.474 -5.469 93.329
-2.763 -5.474 -5.490 73.380
-2.395 -5.474 -5.494 53.711
-2.026 -5.474 -5.430 35.879
-1.658 -5.474 -5.441 20.857
-1.289 -5.474 -5.454 8.579
-0.921 -5.474 -5.435 -0.811
-0.553 -5.474 -5.471 -6.880
-0.184 -5.474 -5.448 -10.334
0.184 -5.474 -5.477 -10.653
0.553 -5.474 -5.584 -7.810
0.921 -5.474 -5.612 -2.295
1.289 -5.474 -5.568 6.297
1.658 -5.474 -5.589 17.810
2.026 -5.474 -5.570 31.995
2.395 -5.474 -5.537 48.960
2.763 -5.474 -5.464 67.383
3.132 -5.474 -5.485 86.063
3.500 -5.474 -5.569 104.632
-3.500 -4.632 -4.431 98.173
-3.132 -4.632 -4.582 80.819
-2.763 -4.632 -4.638 63.336
-2.395 -4.632 -4.650 46.218
-2.026 -4.632 -4.626 30.774
-1.658 -4.632 -4.631 17.864
-1.289 -4.632 -4.641 7.410
-0.921 -4.632 -4.627 -0.498
-0.553 -4.632 -4.643 -5.867
-0.184 -4.632 -4.625 -8.746
0.184 -4.632 -4.623 -9.115
0.553 -4.632 -4.668 -6.906
0.921 -4.632 -4.675 -2.317
1.289 -4.632 -4.638 4.873
1.658 -4.632 -4.662 14.591
2.026 -4.632 -4.659 26.683
2.395 -4.632 -4.628 41.377
2.763 -4.632 -4.654 57.692
3.132 -4.632 -4.730 74.506
3.500 -4.632 -4.821 91.339
-3.500 -3.789 -3.577 82.010
-3.132 -3.789 -3.692 67.245
-2.763 -3.789 -3.781 52.613
-2.395 -3.789 -3.795 38.338
-2.026 -3.789 -3.801 25.551
-1.658 -3.789 -3.804 14.893
-1.289 -3.789 -3.808 6.296
-0.921 -3.789 -3.804 -0.211
-0.553 -3.789 -3.804 -4.750
-0.184 -3.789 -3.801 -7.123
0.184 -3.789 -3.791 -7.503
0.553 -3.789 -3.799 -5.810
0.921 -3.789 -3.782 -2.051
1.289 -3.789 -3.772 3.692
1.658 -3.789 -3.796 11.583
2.026 -3.789 -3.800 21.495
2.395 -3.789 -3.796 33.505
2.763 -3.789 -3.862 47.234
3.132 -3.789 -3.940 61.660
3.500 -3.789 -4.010 76.222
-3.500 -2.947 -2.808 64.832
-3.132 -2.947 -2.843 53.046
-2.763 -2.947 -2.921 41.550
-2.395 -2.947 -2.947 30.315
-2.026 -2.947 -2.965 20.302
-1.658 -2.947 -2.968 11.947
-1.289 -2.947 -2.955 5.228
-0.921 -2.947 -2.960 0.052
-0.553 -2.947 -2.956 -3.541
-0.184 -2.947 -2.964 -5.495
0.184 -2.947 -2.965 -5.869
0.553 -2.947 -2.956 -4.627
0.921 -2.947 -2.940 -1.770
1.289 -2.947 -2.951 2.592
1.658 -2.947 -2.955 8.619
2.026 -2.947 -2.945 16.252
2.395 -2.947 -2.969 25.480
2.763 -2.947 -3.025 36.146
3.132 -2.947 -3.071 47.911
3.500 -2.947 -3.116 59.930
-3.500 -2.105 -2.121 47.523
-3.132 -2.105 -2.093 38.783
-2.763 -2.105 -2.091 30.361
-2.395 -2.105 -2.103 22.340
-2.026 -2.105 -2.114 15.107
-1.658 -2.105 -2.129 9.022
-1.289 -2.105 -2.110 4.124
-0.921 -2.105 -2.102 0.272
-0.553 -2.105 -2.108 -2.362
-0.184 -2.105 -2.113 -3.849
0.184 -2.105 -2.127 -4.280
0.553 -2.105 -2.119 -3.468
0.921 -2.105 -2.120 -1.543
1.289 -2.105 -2.125 1.540
1.658 -2.105 -2.103 5.692
2.026 -2.105 -2.092 11.035
2.395 -2.105 -2.107 17.568
2.763 -2.105 -2.117 25.095
3.132 -2.105 -2.103 33.535
3.500 -2.105 -2.109 42.470
-3.500 -1.263 -1.345 30.517
-3.132 -1.263 -1.310 24.797
-2.763 -1.263 -1.290 19.391
-2.395 -1.263 -1.283 14.372
-2.026 -1.263 -1.273 9.874
-1.658 -1.263 -1.271 6.086
-1.289 -1.263 -1.269 2.984
-0.921 -1.263 -1.255 0.508
-0.553 -1.263 -1.269 -1.207
-0.184 -1.263 -1.273 -2.238
0.184 -1.263 -1.266 -2.625
0.553 -1.263 -1.269 -2.298
0.921 -1.263 -1.282 -1.310
1.289 -1.263 -1.280 0.388
1.658 -1.263 -1.262 2.745
2.026 -1.263 -1.264 5.807
2.395 -1.263 -1.249 9.574
2.763 -1.263 -1.186 13.858
3.132 -1.263 -1.121 18.470
3.500 -1.263 -1.067 23.123
-3.500 -0.421 -0.484 12.760
-3.132 -0.421 -0.444 10.372
-2.763 -0.421 -0.431 8.308
-2.395 -0.421 -0.431 6.403
-2.026 -0.421 -0.433 4.650
-1.658 -0.421 -0.427 3.159
-1.289 -0.421 -0.416 1.870
-0.921 -0.421 -0.424 0.822
-0.553 -0.421 -0.431 -0.013
-0.184 -0.421 -0.428 -0.616
0.184 -0.421 -0.407 -0.984
0.553 -0.421 -0.415 -1.168
0.921 -0.421 -0.432 -1.046
1.289 -0.421 -0.419 -0.711
1.658 -0.421 -0.426 -0.196
2.026 -0.421 -0.439 0.615
2.395 -0.421 -0.431 1.624
2.763 -0.421 -0.434 2.783
3.132 -0.421 -0.444 3.821
3.500 -0.421 -0.440 4.220
-3.500 0.421 0.322 -2.730
-3.132 0.421 0.377 -2.934
-2.763 0.421 0.405 -2.516
-2.395 0.421 0.420 -1.627
-2.026 0.421 0.424 -0.563
-1.658 0.421 0.420 0.231
-1.289 0.421 0.411 0.737
-0.921 0.421 0.410 1.050
-0.553 0.421 0.413 1.137
-0.184 0.421 0.414 1.006
0.184 0.421 0.418 0.610
0.553 0.421 0.419 0.052
0.921 0.421 0.416 -0.813
1.289 0.421 0.418 -1.863
1.658 0.421 0.422 -3.119
2.026 0.421 0.426 -4.607
2.395 0.421 0.397 -6.343
2.763 0.421 0.344 -8.322
3.132 0.421 0.258 -10.722
3.500 0.421 0.131 -14.039
-3.500 1.263 1.143 -18.131
-3.132 1.263 1.201 -16.497
-2.763 1.263 1.228 -13.526
-2.395 1.263 1.257 -9.597
-2.026 1.263 1.283 -5.804
-1.658 1.263 1.283 -2.752
-1.289 1.263 1.258 -0.348
-0.921 1.263 1.251 1.314
-0.553 1.263 1.263 2.310
-0.184 1.263 1.278 2.628
0.184 1.263 1.259 2.209
0.553 1.263 1.247 1.178
0.921 1.263 1.253 -0.562
1.289 1.263 1.264 -2.960
1.658 1.263 1.255 -6.102
2.026 1.263 1.254 -9.879
2.395 1.263 1.261 -14.329
2.763 1.263 1.250 -19.580
3.132 1.263 1.217 -25.896
3.500 1.263 1.172 -32.987
-3.500 2.105 2.011 -33.732
-3.132 2.105 2.060 -30.262
-2.763 2.105 2.081 -24.723
-2.395 2.105 2.102 -17.557
-2.026 2.105 2.111 -11.045
-1.658 2.105 2.104 -5.677
-1.289 2.105 2.095 -1.488
-0.921 2.105 2.090 1.545
-0.553 2.105 2.095 3.478
-0.184 2.105 2.104 4.253
0.184 2.105 2.099 3.893
0.553 2.105 2.085 2.333
0.921 2.105 2.087 -0.317
1.289 2.105 2.097 -4.118
1.658 2.105 2.105 -9.002
2.026 2.105 2.096 -15.102
2.395 2.105 2.114 -22.279
2.763 2.105 2.146 -30.504
3.132 2.105 2.158 -39.678
3.500 2.105 2.129 -49.708
-3.500 2.947 2.907 -48.765
-3.132 2.947 2.959 -43.912
-2.763 2.947 2.973 -35.926
-2.395 2.947 2.960 -25.565
-2.026 2.947 2.953 -16.314
-1.658 2.947 2.947 -8.654
-1.289 2.947 2.960 -2.604
-0.921 2.947 2.944 1.806
-0.553 2.947 2.938 4.620
-0.184 2.947 2.944 5.863
0.184 2.947 2.941 5.456
0.553 2.947 2.945 3.489
0.921 2.947 2.950 -0.041
1.289 2.947 2.942 -5.238
1.658 2.947 2.944 -11.974
2.026 2.947 2.956 -20.317
2.395 2.947 2.950 -30.309
2.763 2.947 2.956 -41.409
3.132 2.947 2.944 -53.175
3.500 2.947 2.878 -64.674
-3.500 3.789 3.823 -62.599
-3.132 3.789 3.855 -56.619
-2.763 3.789 3.839 -46.577
-2.395 3.789 3.800 -33.559
-2.026 3.789 3.791 -21.543
-1.658 3.789 3.802 -11.611
-1.289 3.789 3.806 -3.747
-0.921 3.789 3.793 2.072
-0.553 3.789 3.795 5.822
-0.184 3.789 3.794 7.465
0.184 3.789 3.785 7.114
0.553 3.789 3.790 4.672
0.921 3.789 3.798 0.177
1.289 3.789 3.795 -6.340
1.658 3.789 3.788 -14.940
2.026 3.789 3.793 -25.574
2.395 3.789 3.808 -38.255
2.763 3.789 3.735 -52.488
3.132 3.789 3.661 -66.466
3.500 3.789 3.563 -79.174
-3.500 4.632 4.687 -75.144
-3.132 4.632 4.691 -68.066
-2.763 4.632 4.669 -56.632
-2.395 4.632 4.624 -41.628
-2.026 4.632 4.623 -26.821
-1.658 4.632 4.631 -14.648
-1.289 4.632 4.622 -4.876
-0.921 4.632 4.611 2.324
-0.553 4.632 4.621 6.933
-0.184 4.632 4.625 9.060
0.184 4.632 4.620 8.684
0.553 4.632 4.621 5.815
0.921 4.632 4.618 0.452
1.289 4.632 4.610 -7.445
1.658 4.632 4.624 -17.841
2.026 4.632 4.627 -30.766
2.395 4.632 4.636 -46.248
2.763 4.632 4.525 -63.087
3.132 4.632 4.369 -79.241
3.500 4.632 4.236 -93.245
-3.500 5.474 5.479 -86.494
-3.132 5.474 5.470 -78.323
-2.763 5.474 5.462 -65.931
-2.395 5.474 5.424 -49.406
-2.026 5.474 5.416 -32.135
-1.658 5.474 5.424 -17.707
-1.289 5.474 5.391 -6.011
-0.921 5.474 5.376 2.486
-0.553 5.474 5.408 7.897
-0.184 5.474 5.432 10.482
0.184 5.474 5.438 10.008
0.553 5.474 5.436 6.747
0.921 5.474 5.427 0.768
1.289 5.474 5.408 -8.323
1.658 5.474 5.423 -20.520
2.026 5.474 5.447 -35.656
2.395 5.474 5.475 -53.633
2.763 5.474 5.340 -72.856
3.132 5.474 5.102 -91.173
3.500 5.474 4.918 -106.729
-3.500 6.316 6.228 -96.879
-3.132 6.316 6.221 -87.518
-2.763 6.316 6.236 -74.430
-2.395 6.316 6.210 -56.653
-2.026 6.316 6.174 -37.248
-1.658 6.316 6.160 -20.864
-1.289 6.316 6.104 -7.355
-0.921 6.316 6.095 2.325
-0.553 6.316 6.159 8.513
-0.184 6.316 6.213 11.536
0.184 6.316 6.234 10.945
0.553 6.316 6.226 7.300
0.921 6.316 6.211 0.828
1.289 6.316 6.208 -8.908
1.658 6.316 6.241 -22.699
2.026 6.316 6.258 -39.693
2.395 6.316 6.328 -59.544
2.763 6.316 6.208 -81.123
3.132 6.316 5.932 -101.732
3.500 6.316 5.653 -119.385
-3.500 7.158 6.955 -106.345
-3.132 7.158 6.956 -95.860
-2.763 7.158 7.003 -82.002
-2.395 7.158 6.977 -63.205
-2.026 7.158 6.886 -42.214
-1.658 7.158 6.838 -24.411
-1.289 7.158 6.773 -9.237
-0.921 7.158 6.775 1.620
-0.553 7.158 6.876 8.605
-0.184 7.158 6.964 12.011
0.184 7.158 6.995 11.294
0.553 7.158 6.980 7.297
0.921 7.158 6.959 0.304
1.289 7.158 6.972 -9.860
1.658 7.158 7.079 -24.086
2.026 7.158 7.113 -42.335
2.395 7.158 7.195 -63.709
2.763 7.158 7.135 -87.199
3.132 7.158 6.861 -110.198
3.500 7.158 6.535 -130.489
-3.500 8.000 7.664 -114.862
-3.132 8.000 7.688 -103.350
-2.763 8.000 7.753 -88.807
-2.395 8.000 7.698 -69.414
-2.026 8.000 7.557 -47.172
-1.658 8.000 7.474 -28.192
-1.289 8.000 7.400 -11.797
-0.921 8.000 7.417 0.140
-0.553 8.000 7.546 7.914
-0.184 8.000 7.668 11.658
0.184 8.000 7.702 10.803
0.553 8.000 7.683 6.463
0.921 8.000 7.671 -0.861
1.289 8.000 7.700 -11.220
1.658 8.000 7.883 -25.188
2.026 8.000 8.000 -43.697
2.395 8.000 8.098 -65.962
2.763 8.000 8.082 -91.067
3.132 8.000 7.843 -115.861
3.500 8.000 7.603 -138.868
