x y z
-2.000 -2.000 2.088
-2.000 -1.918 2.008
-2.000 -1.837 1.924
-2.000 -1.755 1.836
-2.000 -1.673 1.743
-2.000 -1.592 1.645
-2.000 -1.510 1.541
-2.000 -1.429 1.432
-2.000 -1.347 1.319
-2.000 -1.265 1.208
-2.000 -1.184 1.115
-2.000 -1.102 1.078
-2.000 -1.020 1.083
-2.000 -0.939 1.083
-2.000 -0.857 1.074
-2.000 -0.776 1.056
-2.000 -0.694 1.029
-2.000 -0.612 0.999
-2.000 -0.531 0.972
-2.000 -0.449 0.944
-2.000 -0.367 0.915
-2.000 -0.286 0.885
-2.000 -0.204 0.855
-2.000 -0.122 0.826
-2.000 -0.041 0.797
-2.000 0.041 0.770
-2.000 0.122 0.745
-2.000 0.204 0.721
-2.000 0.286 0.700
-2.000 0.367 0.681
-2.000 0.449 0.665
-2.000 0.531 0.652
-2.000 0.612 0.644
-2.000 0.694 0.639
-2.000 0.776 0.636
-2.000 0.857 0.634
-2.000 0.939 0.633
-2.000 1.020 0.633
-2.000 1.102 0.632
-2.000 1.184 0.632
-2.000 1.265 0.632
-2.000 1.347 0.632
-2.000 1.429 0.632
-2.000 1.510 0.632
-2.000 1.592 0.632
-2.000 1.673 0.631
-2.000 1.755 0.631
-2.000 1.837 0.631
-2.000 1.918 0.631
-2.000 2.000 0.631
-1.918 -2.000 2.021
-1.918 -1.918 1.939
-1.918 -1.837 1.852
-1.918 -1.755 1.760
-1.918 -1.673 1.664
-1.918 -1.592 1.561
-1.918 -1.510 1.453
-1.918 -1.429 1.338
-1.918 -1.347 1.221
-1.918 -1.265 1.111
-1.918 -1.184 1.032
-1.918 -1.102 1.023
-1.918 -1.020 1.029
-1.918 -0.939 1.031
-1.918 -0.857 1.024
-1.918 -0.776 1.007
-1.918 -0.694 0.983
-1.918 -0.612 0.956
-1.918 -0.531 0.929
-1.918 -0.449 0.901
-1.918 -0.367 0.871
-1.918 -0.286 0.841
-1.918 -0.204 0.812
-1.918 -0.122 0.783
-1.918 -0.041 0.755
-1.918 0.041 0.729
-1.918 0.122 0.704
-1.918 0.204 0.682
-1.918 0.286 0.662
-1.918 0.367 0.644
-1.918 0.449 0.630
-1.918 0.531 0.620
-1.918 0.612 0.615
-1.918 0.694 0.611
-1.918 0.776 0.609
-1.918 0.857 0.608
-1.918 0.939 0.607
-1.918 1.020 0.607
-1.918 1.102 0.606
-1.918 1.184 0.606
-1.918 1.265 0.606
-1.918 1.347 0.606
-1.918 1.429 0.606
-1.918 1.510 0.606
-1.918 1.592 0.606
-1.918 1.673 0.606
-1.918 1.755 0.606
-1.918 1.837 0.606
-1.918 1.918 0.606
-1.918 2.000 0.605
-1.837 -2.000 1.953
-1.837 -1.918 1.868
-1.837 -1.837 1.777
-1.837 -1.755 1.682
-1.837 -1.673 1.581
-1.837 -1.592 1.473
-1.837 -1.510 1.359
-1.837 -1.429 1.239
-1.837 -1.347 1.119
-1.837 -1.265 1.012
-1.837 -1.184 0.958
-1.837 -1.102 0.966
-1.837 -1.020 0.974
-1.837 -0.939 0.978
-1.837 -0.857 0.972
-1.837 -0.776 0.958
-1.837 -0.694 0.937
-1.837 -0.612 0.913
-1.837 -0.531 0.886
-1.837 -0.449 0.857
-1.837 -0.367 0.828
-1.837 -0.286 0.798
-1.837 -0.204 0.769
-1.837 -0.122 0.741
-1.837 -0.041 0.714
-1.837 0.041 0.688
-1.837 0.122 0.664
-1.837 0.204 0.643
-1.837 0.286 0.624
-1.837 0.367 0.609
-1.837 0.449 0.597
-1.837 0.531 0.590
-1.837 0.612 0.586
-1.837 0.694 0.584
-1.837 0.776 0.582
-1.837 0.857 0.582
-1.837 0.939 0.581
-1.837 1.020 0.581
-1.837 1.102 0.580
-1.837 1.184 0.580
-1.837 1.265 0.580
-1.837 1.347 0.580
-1.837 1.429 0.580
-1.837 1.510 0.580
-1.837 1.592 0.580
-1.837 1.673 0.580
-1.837 1.755 0.580
-1.837 1.837 0.580
-1.837 1.918 0.580
-1.837 2.000 0.580
-1.755 -2.000 1.883
-1.755 -1.918 1.794
-1.755 -1.837 1.700
-1.755 -1.755 1.600
-1.755 -1.673 1.494
-1.755 -1.592 1.381
-1.755 -1.510 1.260
-1.755 -1.429 1.135
-1.755 -1.347 1.012
-1.755 -1.265 0.915
-1.755 -1.184 0.895
-1.755 -1.102 0.907
-1.755 -1.020 0.917
-1.755 -0.939 0.923
-1.755 -0.857 0.920
-1.755 -0.776 0.909
-1.755 -0.694 0.893
-1.755 -0.612 0.869
-1.755 -0.531 0.842
-1.755 -0.449 0.814
-1.755 -0.367 0.785
-1.755 -0.286 0.755
-1.755 -0.204 0.727
-1.755 -0.122 0.699
-1.755 -0.041 0.672
-1.755 0.041 0.648
-1.755 0.122 0.625
-1.755 0.204 0.605
-1.755 0.286 0.588
-1.755 0.367 0.575
-1.755 0.449 0.567
-1.755 0.531 0.562
-1.755 0.612 0.559
-1.755 0.694 0.557
-1.755 0.776 0.556
-1.755 0.857 0.555
-1.755 0.939 0.555
-1.755 1.020 0.555
-1.755 1.102 0.555
-1.755 1.184 0.554
-1.755 1.265 0.554
-1.755 1.347 0.554
-1.755 1.429 0.554
-1.755 1.510 0.554
-1.755 1.592 0.554
-1.755 1.673 0.554
-1.755 1.755 0.554
-1.755 1.837 0.554
-1.755 1.918 0.554
-1.755 2.000 0.554
-1.673 -2.000 1.810
-1.673 -1.918 1.718
-1.673 -1.837 1.620
-1.673 -1.755 1.515
-1.673 -1.673 1.403
-1.673 -1.592 1.283
-1.673 -1.510 1.155
