x y
-1.000000e-01 1.000000e-01
-1.273150e-01 1.108613e-01
-1.567963e-01 1.192033e-01
-1.873137e-01 1.241202e-01
-2.175261e-01 1.248246e-01
-2.462591e-01 1.208232e-01
-2.728447e-01 1.119676e-01
-2.974199e-01 9.844924e-02
-3.210273e-01 8.073540e-02
-3.448434e-01 5.920328e-02
-3.686984e-01 3.361159e-02
-3.916175e-01 3.413407e-03
-4.123379e-01 -3.200150e-02
-4.301547e-01 -7.303689e-02
-4.444399e-01 -1.201233e-01
-4.540410e-01 -1.737739e-01
-4.580784e-01 -2.339076e-01
-4.565527e-01 -2.992788e-01
-4.491126e-01 -3.676524e-01
-4.368617e-01 -4.370390e-01
-4.193443e-01 -5.060889e-01
-3.948644e-01 -5.729519e-01
-3.604692e-01 -6.374069e-01
-3.160229e-01 -6.983879e-01
-2.621192e-01 -7.538567e-01
-1.982618e-01 -8.020719e-01
-1.252216e-01 -8.416634e-01
-4.599010e-02 -8.713462e-01
3.759839e-02 -8.912083e-01
1.238278e-01 -9.013467e-01
2.110237e-01 -9.016819e-01
2.982827e-01 -8.921878e-01
3.850404e-01 -8.731716e-01
4.708417e-01 -8.450742e-01
5.547245e-01 -8.076912e-01
6.332469e-01 -7.596990e-01
6.996045e-01 -7.010171e-01
7.552040e-01 -6.409397e-01
8.015910e-01 -5.822556e-01
8.415771e-01 -5.233144e-01
8.777903e-01 -4.606792e-01
9.119892e-01 -3.895513e-01
9.443337e-01 -3.042380e-01
9.713261e-01 -2.043637e-01
9.879777e-01 -9.985623e-02
9.933566e-01 3.396630e-03
9.880881e-01 1.049875e-01
9.724221e-01 2.054148e-01
9.460521e-01 3.051933e-01
9.089018e-01 4.028774e-01
8.609281e-01 4.973609e-01
8.031024e-01 5.862083e-01
7.363920e-01 6.680453e-01
6.620252e-01 7.417017e-01
5.801684e-01 8.071771e-01
4.910802e-01 8.640490e-01
3.972001e-01 9.107521e-01
2.982410e-01 9.474567e-01
1.972877e-01 9.734243e-01
9.849202e-02 9.886414e-01
4.381493e-03 9.940525e-01
-8.508078e-02 9.910784e-01
-1.699274e-01 9.801450e-01
-2.501792e-01 9.625841e-01
-3.270622e-01 9.390672e-01
-4.024509e-01 9.091705e-01
-4.783693e-01 8.727177e-01
-5.541806e-01 8.289561e-01
-6.277073e-01 7.761140e-01
-6.953918e-01 7.161015e-01
-7.544973e-01 6.535341e-01
-8.043268e-01 5.911288e-01
-8.470711e-01 5.280600e-01
-8.847859e-01 4.620957e-01
-9.188061e-01 3.900969e-01
-9.494594e-01 3.080723e-01
-9.745311e-01 2.160376e-01
-9.909900e-01 1.196821e-01
-9.979587e-01 2.156932e-02
-9.950913e-01 -7.862435e-02
-9.819242e-01 -1.794853e-01
-9.584750e-01 -2.787788e-01
-9.247126e-01 -3.758995e-01
-8.801687e-01 -4.708486e-01
-8.264454e-01 -5.598082e-01
-7.652239e-01 -6.409612e-01
-6.978608e-01 -7.140026e-01
-6.240435e-01 -7.801638e-01
-5.437846e-01 -8.382062e-01
-4.569275e-01 -8.887058e-01
-3.662145e-01 -9.302538e-01
