x y u v
-1.200 -1.200 2.739 -0.358
-1.074 -1.200 2.453 -0.302
-0.947 -1.200 2.174 -0.241
-0.821 -1.200 1.938 -0.181
-0.695 -1.200 1.761 -0.132
-0.568 -1.200 1.618 -0.084
-0.442 -1.200 1.528 -0.041
-0.316 -1.200 1.477 0.008
-0.189 -1.200 1.419 0.071
-0.063 -1.200 1.323 0.149
0.063 -1.200 1.229 0.228
0.189 -1.200 1.142 0.325
0.316 -1.200 1.050 0.445
0.442 -1.200 0.934 0.580
0.568 -1.200 0.785 0.732
0.695 -1.200 0.611 0.890
0.821 -1.200 0.407 1.042
0.947 -1.200 0.154 1.199
1.074 -1.200 -0.221 1.386
1.200 -1.200 -0.771 1.627
-1.200 -1.074 2.458 -0.496
-1.074 -1.074 2.193 -0.457
-0.947 -1.074 1.937 -0.411
-0.821 -1.074 1.690 -0.353
-0.695 -1.074 1.510 -0.306
-0.568 -1.074 1.368 -0.264
-0.442 -1.074 1.264 -0.217
-0.316 -1.074 1.207 -0.162
-0.189 -1.074 1.170 -0.097
-0.063 -1.074 1.103 -0.011
0.063 -1.074 1.047 0.084
0.189 -1.074 0.990 0.202
0.316 -1.074 0.917 0.341
0.442 -1.074 0.831 0.487
0.568 -1.074 0.741 0.639
0.695 -1.074 0.604 0.793
0.821 -1.074 0.409 0.961
0.947 -1.074 0.095 1.156
1.074 -1.074 -0.387 1.397
1.200 -1.074 -1.144 1.731
-1.200 -0.947 2.107 -0.599
-1.074 -0.947 1.896 -0.582
-0.947 -0.947 1.656 -0.551
-0.821 -0.947 1.435 -0.512
-0.695 -0.947 1.233 -0.461
-0.568 -0.947 1.104 -0.425
-0.442 -0.947 0.998 -0.382
-0.316 -0.947 0.943 -0.328
-0.189 -0.947 0.934 -0.263
-0.063 -0.947 0.909 -0.169
0.063 -0.947 0.903 -0.061
0.189 -0.947 0.886 0.070
0.316 -0.947 0.864 0.219
0.442 -0.947 0.835 0.370
0.568 -0.947 0.770 0.526
0.695 -0.947 0.636 0.702
0.821 -0.947 0.390 0.906
0.947 -0.947 -0.025 1.151
1.074 -0.947 -0.699 1.479
1.200 -0.947 -1.572 1.874
-1.200 -0.821 1.744 -0.694
-1.074 -0.821 1.543 -0.680
-0.947 -0.821 1.340 -0.661
-0.821 -0.821 1.131 -0.638
-0.695 -0.821 0.948 -0.604
-0.568 -0.821 0.811 -0.563
-0.442 -0.821 0.731 -0.528
-0.316 -0.821 0.690 -0.478
-0.189 -0.821 0.717 -0.414
-0.063 -0.821 0.754 -0.314
0.063 -0.821 0.811 -0.201
0.189 -0.821 0.850 -0.060
0.316 -0.821 0.864 0.105
0.442 -0.821 0.858 0.273
0.568 -0.821 0.804 0.446
0.695 -0.821 0.642 0.649
0.821 -0.821 0.300 0.894
0.947 -0.821 -0.285 1.210
