x y
-1.000000e-01 1.000000e-01
-1.239875e-01 1.052213e-01
-1.493579e-01 1.075459e-01
-1.751451e-01 1.063974e-01
-2.002326e-01 1.013539e-01
-2.237458e-01 9.224949e-02
-2.456640e-01 7.916237e-02
-2.665130e-01 6.224612e-02
-2.867843e-01 4.159940e-02
-3.064924e-01 1.713760e-02
-3.252156e-01 -1.131521e-02
-3.422523e-01 -4.394750e-02
-3.566382e-01 -8.111228e-02
-3.672109e-01 -1.233475e-01
-3.725738e-01 -1.713868e-01
-3.723056e-01 -2.253300e-01
-3.682187e-01 -2.833788e-01
-3.616124e-01 -3.439464e-01
-3.514338e-01 -4.058519e-01
-3.355453e-01 -4.680644e-01
-3.119813e-01 -5.294366e-01
-2.782937e-01 -5.898001e-01
-2.325347e-01 -6.485294e-01
-1.752334e-01 -7.031732e-01
-1.084491e-01 -7.512698e-01
-3.477621e-02 -7.907990e-01
4.398789e-02 -8.205856e-01
1.261719e-01 -8.397623e-01
2.102544e-01 -8.474528e-01
2.954263e-01 -8.431635e-01
3.818576e-01 -8.267912e-01
4.699469e-01 -7.983079e-01
5.573670e-01 -7.591655e-01
6.356670e-01 -7.112611e-01
6.941558e-01 -6.549495e-01
7.273331e-01 -5.918665e-01
7.369729e-01 -5.246394e-01
7.281436e-01 -4.551473e-01
7.072230e-01 -3.848690e-01
6.813286e-01 -3.148869e-01
6.576071e-01 -2.461689e-01
6.417611e-01 -1.795585e-01
6.371907e-01 -1.153227e-01
6.423348e-01 -5.241784e-02
6.510927e-01 1.158307e-02
6.586507e-01 7.842300e-02
6.609562e-01 1.493812e-01
6.557004e-01 2.243018e-01
6.417409e-01 3.020566e-01
6.182848e-01 3.814830e-01
5.846303e-01 4.610195e-01
5.427402e-01 5.376889e-01
4.933568e-01 6.105269e-01
4.354171e-01 6.783208e-01
3.707381e-01 7.387124e-01
2.991706e-01 7.909966e-01
2.189898e-01 8.352008e-01
1.333504e-01 8.697917e-01
4.635399e-02 8.935373e-01
-3.895079e-02 9.060713e-01
-1.216526e-01 9.077518e-01
-2.028293e-01 8.997202e-01
-2.836518e-01 8.834690e-01
-3.654489e-01 8.600352e-01
-4.492752e-01 8.290120e-01
-5.340596e-01 7.895351e-01
-6.149639e-01 7.409120e-01
-6.837699e-01 6.828746e-01
-7.325926e-01 6.162738e-01
-7.574455e-01 5.425925e-01
-7.600770e-01 4.638290e-01
-7.455068e-01 3.826548e-01
-7.214049e-01 3.027590e-01
-6.985649e-01 2.272181e-01
-6.851653e-01 1.569350e-01
-6.834095e-01 8.987921e-02
-6.890619e-01 2.311796e-02
-6.973763e-01 -4.515432e-02
-7.041615e-01 -1.157696e-01
-7.064579e-01 -1.887156e-01
-7.016379e-01 -2.639635e-01
-6.879984e-01 -3.419428e-01
-6.655636e-01 -4.211240e-01
-6.380772e-01 -4.967556e-01
-6.069505e-01 -5.671545e-01
-5.699030e-01 -6.335751e-01
-5.222409e-01 -6.975441e-01
-4.629658e-01 -7.578117e-01
-3.931140e-01 -8.126755e-01
-3.141188e-01 -8.610681e-01
-2.287113e-01 -9.016244e-01
-1.399654e-01 -9.333604e-01
-4.869409e-02 -9.562647e-01
4.424035e-02 -9.701898e-01
1.372336e-01 -9.746035e-01
2.283340e-01 -9.683364e-01
3.165230e-01 -9.504639e-01
4.013147e-01 -9.208531e-01
4.855654e-01 -8.804839e-01
5.702801e-01 -8.307654e-01
6.488444e-01 -7.741251e-01
7.104869e-01 -7.109326e-01
7.473375e-01 -6.420174e-01
7.595975e-01 -5.698948e-01
7.521524e-01 -4.966962e-01
7.311187e-01 -4.234934e-01
