x y u v
-1.200 -1.200 2.338 -0.480
-1.074 -1.200 2.154 -0.425
-0.947 -1.200 1.954 -0.361
-0.821 -1.200 1.748 -0.273
-0.695 -1.200 1.570 -0.183
-0.568 -1.200 1.426 -0.097
-0.442 -1.200 1.323 -0.021
-0.316 -1.200 1.215 0.052
-0.189 -1.200 1.154 0.107
-0.063 -1.200 1.141 0.159
0.063 -1.200 1.150 0.226
0.189 -1.200 1.114 0.336
0.316 -1.200 1.062 0.480
0.442 -1.200 0.991 0.656
0.568 -1.200 0.893 0.865
0.695 -1.200 0.792 1.081
0.821 -1.200 0.644 1.273
0.947 -1.200 0.384 1.468
1.074 -1.200 -0.037 1.704
1.200 -1.200 -0.650 1.975
-1.200 -1.074 2.066 -0.613
-1.074 -1.074 1.888 -0.550
-0.947 -1.074 1.724 -0.499
-0.821 -1.074 1.545 -0.432
-0.695 -1.074 1.374 -0.347
-0.568 -1.074 1.245 -0.271
-0.442 -1.074 1.159 -0.203
-0.316 -1.074 1.084 -0.141
-0.189 -1.074 1.033 -0.088
-0.063 -1.074 1.025 -0.030
0.063 -1.074 1.023 0.053
0.189 -1.074 0.990 0.177
0.316 -1.074 0.945 0.343
0.442 -1.074 0.877 0.547
0.568 -1.074 0.801 0.771
0.695 -1.074 0.710 0.979
0.821 -1.074 0.535 1.169
0.947 -1.074 0.198 1.395
1.074 -1.074 -0.339 1.670
1.200 -1.074 -1.074 1.977
-1.200 -0.947 1.792 -0.745
-1.074 -0.947 1.608 -0.666
-0.947 -0.947 1.448 -0.607
-0.821 -0.947 1.304 -0.558
-0.695 -0.947 1.157 -0.495
-0.568 -0.947 1.034 -0.422
-0.442 -0.947 0.968 -0.371
-0.316 -0.947 0.938 -0.328
-0.189 -0.947 0.912 -0.277
-0.063 -0.947 0.909 -0.205
0.063 -0.947 0.907 -0.102
0.189 -0.947 0.888 0.046
0.316 -0.947 0.857 0.234
0.442 -0.947 0.825 0.444
0.568 -0.947 0.801 0.657
0.695 -0.947 0.695 0.848
0.821 -0.947 0.438 1.058
0.947 -0.947 -0.017 1.321
1.074 -0.947 -0.687 1.628
1.200 -0.947 -1.479 1.959
-1.200 -0.821 1.532 -0.858
-1.074 -0.821 1.338 -0.773
-0.947 -0.821 1.165 -0.698
-0.821 -0.821 1.022 -0.643
-0.695 -0.821 0.904 -0.601
-0.568 -0.821 0.805 -0.553
-0.442 -0.821 0.760 -0.515
-0.316 -0.821 0.767 -0.494
-0.189 -0.821 0.779 -0.442
-0.063 -0.821 0.788 -0.349
0.063 -0.821 0.808 -0.224
0.189 -0.821 0.838 -0.070
0.316 -0.821 0.863 0.112
0.442 -0.821 0.874 0.319
0.568 -0.821 0.831 0.518
0.695 -0.821 0.650 0.719
0.821 -0.821 0.279 0.965
0.947 -0.821 -0.308 1.262
1.074 -0.821 -1.049 1.592
1.200 -0.821 -1.906 1.954
-1.200 -0.695 1.298 -0.928
-1.074 -0.695 1.114 -0.856
-0.947 -0.695 0.924 -0.776
-0.821 -0.695 0.755 -0.705
-0.695 -0.695 0.627 -0.658
-0.568 -0.695 0.545 -0.632
-0.442 -0.695 0.515 -0.607
-0.316 -0.695 0.551 -0.587
-0.189 -0.695 0.605 -0.528
-0.063 -0.695 0.659 -0.426
0.063 -0.695 0.752 -0.307
0.189 -0.695 0.833 -0.162
0.316 -0.695 0.887 0.014
0.442 -0.695 0.905 0.205
0.568 -0.695 0.805 0.394
0.695 -0.695 0.522 0.619
0.821 -0.695 0.035 0.895
0.947 -0.695 -0.638 1.217
1.074 -0.695 -1.437 1.572
1.200 -0.695 -2.307 1.940
-1.200 -0.568 1.094 -0.942
-1.074 -0.568 0.910 -0.892
-0.947 -0.568 0.742 -0.835
-0.821 -0.568 0.571 -0.770
-0.695 -0.568 0.415 -0.708
-0.568 -0.568 0.309 -0.667
-0.442 -0.568 0.279 -0.644
-0.316 -0.568 0.330 -0.606
-0.189 -0.568 0.442 -0.551
-0.063 -0.568 0.530 -0.450
0.063 -0.568 0.646 -0.330
0.189 -0.568 0.757 -0.191
0.316 -0.568 0.832 -0.026
0.442 -0.568 0.825 0.142
0.568 -0.568 0.646 0.337
0.695 -0.568 0.277 0.581
0.821 -0.568 -0.291 0.875
0.947 -0.568 -1.001 1.208
1.074 -0.568 -1.767 1.548
1.200 -0.568 -2.526 1.884
-1.200 -0.442 0.948 -0.969
-1.074 -0.442 0.718 -0.907
-0.947 -0.442 0.534 -0.863
-0.821 -0.442 0.401 -0.828
-0.695 -0.442 0.295 -0.782
-0.568 -0.442 0.201 -0.722
-0.442 -0.442 0.149 -0.665
-0.316 -0.442 0.176 -0.604
-0.189 -0.442 0.278 -0.530
-0.063 -0.442 0.381 -0.424
0.063 -0.442 0.503 -0.295
0.189 -0.442 0.628 -0.154
0.316 -0.442 0.704 -0.004
0.442 -0.442 0.629 0.161
0.568 -0.442 0.379 0.371
0.695 -0.442 -0.052 0.631
0.821 -0.442 -0.623 0.922
0.947 -0.442 -1.224 1.216
1.074 -0.442 -1.812 1.500
1.200 -0.442 -2.378 1.776
-1.200 -0.316 0.828 -1.034
-1.074 -0.316 0.582 -0.949
-0.947 -0.316 0.380 -0.873
-0.821 -0.316 0.235 -0.818
-0.695 -0.316 0.152 -0.781
-0.568 -0.316 0.115 -0.739
-0.442 -0.316 0.080 -0.659
-0.316 -0.316 0.069 -0.568
-0.189 -0.316 0.134 -0.467
